blind_id,article_id,pair_id,pair_role,matched_with_article_id
BLIND-D148A43B12,answer_2063268216005309342,PAIR-01,A_MATCHED_HIGH_PLAY,answer_2061965818829739713
BLIND-C39585FB98,answer_2061965818829739713,PAIR-01,B_MATCHED_LOW_PLAY,answer_2063268216005309342
BLIND-99E1891D06,answer_2063019845868860854,PAIR-02,A_MATCHED_HIGH_PLAY,answer_2061118130731096014
BLIND-1DA8A95CAB,answer_2061118130731096014,PAIR-02,B_MATCHED_LOW_PLAY,answer_2063019845868860854
BLIND-9028D7A46E,answer_2062594251175810974,PAIR-03,A_MATCHED_HIGH_PLAY,answer_2062588572134289861
BLIND-1AC2A85247,answer_2062588572134289861,PAIR-03,B_MATCHED_LOW_PLAY,answer_2062594251175810974
BLIND-27BD0516B2,answer_2054353693386990646,PAIR-04,A_MATCHED_HIGH_PLAY,answer_2053150670178595072
BLIND-9A47A7E6E7,answer_2053150670178595072,PAIR-04,B_MATCHED_LOW_PLAY,answer_2054353693386990646
BLIND-C3A860288C,answer_2056059209934959217,PAIR-05,A_MATCHED_HIGH_PLAY,answer_2055788329006784796
BLIND-F2110ECA7E,answer_2055788329006784796,PAIR-05,B_MATCHED_LOW_PLAY,answer_2056059209934959217
BLIND-8483CE378F,answer_2053140800012391180,PAIR-06,A_MATCHED_HIGH_PLAY,answer_2053482385552021494
BLIND-37FBDD9DB8,answer_2053482385552021494,PAIR-06,B_MATCHED_LOW_PLAY,answer_2053140800012391180
BLIND-E5541048A0,answer_2053893528665823152,PAIR-07,A_MATCHED_HIGH_PLAY,answer_2052166992531027845
BLIND-C56953660B,answer_2052166992531027845,PAIR-07,B_MATCHED_LOW_PLAY,answer_2053893528665823152
BLIND-0D8B145699,answer_2057129843288957834,PAIR-08,A_MATCHED_HIGH_PLAY,answer_2060382464640561232
BLIND-4A8966CAFB,answer_2060382464640561232,PAIR-08,B_MATCHED_LOW_PLAY,answer_2057129843288957834
BLIND-8EFCF261E6,answer_2052522859554156734,PAIR-09,A_MATCHED_HIGH_PLAY,answer_2052435404134127226
BLIND-06086A5698,answer_2052435404134127226,PAIR-09,B_MATCHED_LOW_PLAY,answer_2052522859554156734
