article_id,title,content_type,published_at,url,views,likes,comments,favorites,earnings,earnings_per_1k_views,result_layer,evidence_level,sample_level,upgrade_reason,notes
p_2053941871722895279,什么事情是我当了老板才知道的？,文章,编辑于 06-26,https://zhuanlan.zhihu.com/p/2053941871722895279,628,12,2,11,27,42.99,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2064054719195223355,员工培养起来就跳槽怎么办？,回答,发布于 07-24,https://www.zhihu.com/answer/2064054719195223355,509,5,0,2,,,,RAW,L1,最近7天TOP5,
answer_2063268216005309342,为什么很多人，做到经理或总监，就再也上不去了？,回答,发布于 07-22,https://www.zhihu.com/answer/2063268216005309342,6567,62,6,134,1611,245.32,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；最近7天TOP5；高收益TOP5；高收藏TOP5；高阅读TOP5,收益来源：知乎TOP10事实包_V1_给GPT复盘.md
answer_2063378539873936478,为什么公司中层培养这么困难？培养中层的最大障碍到底是什么？,回答,发布于 07-22,https://www.zhihu.com/answer/2063378539873936478,809,7,3,13,,,,RAW,L1,最近7天TOP5,
answer_2063261788725065564,和领导相处有哪些红线不能碰？,回答,发布于 07-22,https://www.zhihu.com/answer/2063261788725065564,578,0,0,3,,,,RAW,L1,最近7天TOP5,
answer_2063019845868860854,基层工作现在的难点是什么？,回答,发布于 07-21,https://www.zhihu.com/answer/2063019845868860854,1712,41,3,23,320,186.92,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；最近7天TOP5；高阅读TOP5,收益来源：知乎TOP10事实包_V1_给GPT复盘.md
answer_2062594251175810974,如何看待大力提拔选拔年轻干部?,回答,发布于 07-20,https://www.zhihu.com/answer/2062594251175810974,820,4,0,5,33,40.24,A+D,RAW,L1,A层-高收益TOP20；D层-低阅读低收益TOP20,
answer_2062574178964968319,是什么让好员工开始摆烂的？,回答,发布于 07-20,https://www.zhihu.com/answer/2062574178964968319,351,1,0,2,9,25.64,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2062588572134289861,基层为什么越来越累？,回答,发布于 07-20,https://www.zhihu.com/answer/2062588572134289861,167,1,0,1,9,53.89,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2062167228661994539,为什么“工作逻辑”比能力更重要？,回答,发布于 07-19,https://www.zhihu.com/answer/2062167228661994539,93,2,0,0,4,43.01,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2061965818829739713,什么类型的人适合当领导？,回答,发布于 07-18,https://www.zhihu.com/answer/2061965818829739713,481,4,0,13,94,195.43,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20,
answer_2061118130731096014,领导提拔你的最根本的原因是什么？,回答,发布于 07-16,https://www.zhihu.com/answer/2061118130731096014,509,5,0,8,88,172.89,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
