article_id,title,cohort,views,earnings,earnings_per_1k_views,like_rate,comment_rate,favorite_rate,published_at,url
answer_2054232041546425500,作为管理者，有哪些事情不能对员工讲？,A_HIGH_M_HIGH_PLAY,870,484.0,556.32,0.0138,0.0011,0.0379,发布于 06-27,https://www.zhihu.com/answer/2054232041546425500
answer_2053893528665823152,职场中的人才，到底是「选拔」出来的还是「培养」出来的？,A_HIGH_M_HIGH_PLAY,796,420.0,527.64,0.0176,0.0,0.0163,发布于 06-26,https://www.zhihu.com/answer/2053893528665823152
answer_2054353693386990646,什么样的员工容易被提拔为管理层？,A_HIGH_M_HIGH_PLAY,1289,431.0,334.37,0.0109,0.0,0.014,发布于 06-27,https://www.zhihu.com/answer/2054353693386990646
answer_2063268216005309342,为什么很多人，做到经理或总监，就再也上不去了？,A_HIGH_M_HIGH_PLAY,6567,1611.0,245.32,0.0094,0.0009,0.0204,发布于 07-22,https://www.zhihu.com/answer/2063268216005309342
answer_2056059209934959217,怎么判断一个单位已经烂透了?,A_HIGH_M_HIGH_PLAY,962,217.0,225.57,0.0125,0.001,0.0166,发布于 07-02,https://www.zhihu.com/answer/2056059209934959217
answer_2055788329006784796,好领导一般都什么样？,A_HIGH_M_HIGH_PLAY,440,91.0,206.82,0.0159,0.0,0.0159,发布于 07-01,https://www.zhihu.com/answer/2055788329006784796
answer_2061965818829739713,什么类型的人适合当领导？,A_HIGH_M_HIGH_PLAY,481,94.0,195.43,0.0083,0.0,0.027,发布于 07-18,https://www.zhihu.com/answer/2061965818829739713
answer_2063019845868860854,基层工作现在的难点是什么？,A_HIGH_M_HIGH_PLAY,1712,320.0,186.92,0.0239,0.0018,0.0134,发布于 07-21,https://www.zhihu.com/answer/2063019845868860854
answer_2052522859554156734,普通人怎么才能实现财务自由？,A_HIGH_M_HIGH_PLAY,553,102.0,184.45,0.0127,0.0,0.0325,发布于 06-22,https://www.zhihu.com/answer/2052522859554156734
answer_2061118130731096014,领导提拔你的最根本的原因是什么？,A_HIGH_M_HIGH_PLAY,509,88.0,172.89,0.0098,0.0,0.0157,发布于 07-16,https://www.zhihu.com/answer/2061118130731096014
answer_2061182947722629609,阶层为什么会固化？,B_HIGH_M_LOW_PLAY,71,26.0,366.2,0.0563,0.0,0.0986,发布于 07-16,https://www.zhihu.com/answer/2061182947722629609
answer_2053150670178595072,销售那么挣钱，为什么大家不愿意做销售？,B_HIGH_M_LOW_PLAY,235,78.0,331.91,0.0213,0.0,0.034,发布于 06-24,https://www.zhihu.com/answer/2053150670178595072
answer_2052166992531027845,为什么现在的年轻人创业经常失败？,B_HIGH_M_LOW_PLAY,315,94.0,298.41,0.0127,0.0,0.0317,发布于 06-21,https://www.zhihu.com/answer/2052166992531027845
answer_2052435404134127226,管理的本质是决策还是协调？,B_HIGH_M_LOW_PLAY,171,35.0,204.68,0.0058,0.0,0.0351,发布于 06-22,https://www.zhihu.com/answer/2052435404134127226
answer_2074892737510380763,认知水平高的人有什么特征？,B_HIGH_M_LOW_PLAY,204,36.0,176.47,0.0196,0.0,0.0147,发布于 08-23,https://www.zhihu.com/answer/2074892737510380763
answer_2056050021309666323,你是怎么发现职场都是一个草台班子的？？,B_HIGH_M_LOW_PLAY,282,38.0,134.75,0.0106,0.0,0.0035,发布于 07-02,https://www.zhihu.com/answer/2056050021309666323
answer_2053482385552021494,为什么成功人士的精力都非常旺盛？,B_HIGH_M_LOW_PLAY,278,32.0,115.11,0.0108,0.0,0.0072,发布于 06-25,https://www.zhihu.com/answer/2053482385552021494
answer_2057129843288957834,现在就业大环境怎么样？,C_LOW_M_HIGH_PLAY,594,61.0,102.69,0.0084,0.0,0.0034,发布于 07-05,https://www.zhihu.com/answer/2057129843288957834
answer_2053140800012391180,中年失业出路在哪？,C_LOW_M_HIGH_PLAY,988,100.0,101.21,0.0061,0.0,0.0142,发布于 06-24,https://www.zhihu.com/answer/2053140800012391180
answer_2056054123464860634,为什么中建这种大央企也会发不出工资？,C_LOW_M_HIGH_PLAY,546,55.0,100.73,0.0128,0.0,0.0073,发布于 07-02,https://www.zhihu.com/answer/2056054123464860634
answer_2062594251175810974,如何看待大力提拔选拔年轻干部?,C_LOW_M_HIGH_PLAY,820,33.0,40.24,0.0049,0.0,0.0061,发布于 07-20,https://www.zhihu.com/answer/2062594251175810974
answer_2056382999558674292,体制内你见到最狠的是什么样？,C_LOW_M_HIGH_PLAY,478,18.0,37.66,0.0021,0.0,0.0042,发布于 07-03,https://www.zhihu.com/answer/2056382999558674292
answer_2061119572829270834,什么叫裁员裁到大动脉？,C_LOW_M_HIGH_PLAY,649,4.0,6.16,0.0031,0.0,0.0,发布于 07-16,https://www.zhihu.com/answer/2061119572829270834
answer_2057119789592717236,公司倒闭前有什么征兆？,C_LOW_M_HIGH_PLAY,921,4.0,4.34,0.0011,0.0,0.0,发布于 07-05,https://www.zhihu.com/answer/2057119789592717236
