pair_id,pair_role,article_id,title,views,earnings,earnings_per_1k_views,published_at,published_date,exposure_age_days,age_bucket,views_per_day,matched_with_article_id,views_ratio,rpm_delta_ratio,age_days_delta,like_rate,comment_rate,favorite_rate,evidence_status,url
PAIR-01,A_MATCHED_HIGH_PLAY,answer_2063268216005309342,为什么很多人，做到经理或总监，就再也上不去了？,6567,1611.0,245.32,发布于 07-22,2026-07-22,34,22_45D,193.15,answer_2061965818829739713,13.65,0.2034,4,0.0094,0.0009,0.0204,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2063268216005309342
PAIR-01,B_MATCHED_LOW_PLAY,answer_2061965818829739713,什么类型的人适合当领导？,481,94.0,195.43,发布于 07-18,2026-07-18,38,22_45D,12.66,answer_2063268216005309342,13.65,0.2034,4,0.0083,0.0,0.027,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2061965818829739713
PAIR-02,A_MATCHED_HIGH_PLAY,answer_2063019845868860854,基层工作现在的难点是什么？,1712,320.0,186.92,发布于 07-21,2026-07-21,35,22_45D,48.91,answer_2061118130731096014,3.36,0.0751,5,0.0239,0.0018,0.0134,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2063019845868860854
PAIR-02,B_MATCHED_LOW_PLAY,answer_2061118130731096014,领导提拔你的最根本的原因是什么？,509,88.0,172.89,发布于 07-16,2026-07-16,40,22_45D,12.72,answer_2063019845868860854,3.36,0.0751,5,0.0098,0.0,0.0157,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2061118130731096014
PAIR-03,A_MATCHED_HIGH_PLAY,answer_2062594251175810974,如何看待大力提拔选拔年轻干部?,820,33.0,40.24,发布于 07-20,2026-07-20,36,22_45D,22.78,answer_2062588572134289861,4.91,0.2533,0,0.0049,0.0,0.0061,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2062594251175810974
PAIR-03,B_MATCHED_LOW_PLAY,answer_2062588572134289861,基层为什么越来越累？,167,9.0,53.89,发布于 07-20,2026-07-20,36,22_45D,4.64,answer_2062594251175810974,4.91,0.2533,0,0.006,0.0,0.006,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2062588572134289861
PAIR-04,A_MATCHED_HIGH_PLAY,answer_2054353693386990646,什么样的员工容易被提拔为管理层？,1289,431.0,334.37,发布于 06-27,2026-06-27,59,46D_PLUS,21.85,answer_2053150670178595072,5.49,0.0074,3,0.0109,0.0,0.014,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2054353693386990646
PAIR-04,B_MATCHED_LOW_PLAY,answer_2053150670178595072,销售那么挣钱，为什么大家不愿意做销售？,235,78.0,331.91,发布于 06-24,2026-06-24,62,46D_PLUS,3.79,answer_2054353693386990646,5.49,0.0074,3,0.0213,0.0,0.034,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2053150670178595072
PAIR-05,A_MATCHED_HIGH_PLAY,answer_2056059209934959217,怎么判断一个单位已经烂透了?,962,217.0,225.57,发布于 07-02,2026-07-02,54,46D_PLUS,17.81,answer_2055788329006784796,2.19,0.0831,1,0.0125,0.001,0.0166,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2056059209934959217
PAIR-05,B_MATCHED_LOW_PLAY,answer_2055788329006784796,好领导一般都什么样？,440,91.0,206.82,发布于 07-01,2026-07-01,55,46D_PLUS,8.0,answer_2056059209934959217,2.19,0.0831,1,0.0159,0.0,0.0159,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2055788329006784796
PAIR-06,A_MATCHED_HIGH_PLAY,answer_2053140800012391180,中年失业出路在哪？,988,100.0,101.21,发布于 06-24,2026-06-24,62,46D_PLUS,15.94,answer_2053482385552021494,3.55,0.1208,1,0.0061,0.0,0.0142,WEAK_MATCHED_CANDIDATE,https://www.zhihu.com/answer/2053140800012391180
