title,type,publish_date,current_read,current_income,current_rpm,total_read,total_income,total_rpm,url
"老板真的在乎初创员工吗？","回答","2026-07-28",49,4,81.63,49,4,81.63,"https://www.zhihu.com/answer/2065572500503803251"
"领导一般会如何看待那些不争不抢、闷声干活且业绩不错的员工？","回答","2026-07-28",101,27,267.33,101,27,267.33,"https://www.zhihu.com/answer/2065226802763716519"
"如果领导的工作安排明显有问题，下属到底需要执行下去，还是拒绝执行？","回答","2026-07-27",105,28,266.67,105,28,266.67,"https://www.zhihu.com/answer/2065106196743336800"
"两名下属，一个来得早，一个能力强，要提一个做管理，怎么选？","回答","2026-07-27",70,24,342.86,70,24,342.86,"https://www.zhihu.com/answer/2065019094504673760"
"员工培养起来就跳槽怎么办？","回答","2026-07-24",533,42,78.80,533,42,78.80,"https://www.zhihu.com/answer/2064054719195223355"
"何一最被低估的能力是什么：营销、产品、管理还是识人？","回答","2026-07-24",43,8,186.05,43,8,186.05,"https://www.zhihu.com/answer/2064037315291378046"
"为什么许多公司不愿意提拔能力很强的员工?","回答","2026-07-24",313,43,137.38,313,43,137.38,"https://www.zhihu.com/answer/2064010056581042982"
"为什么有的大公司一群聪明人，各种考核标准，事情做的一团糟？","回答","2026-07-23",125,4,32.00,169,4,23.67,"https://www.zhihu.com/answer/2063716034964624021"
"为什么越来越多人“一切向钱看”？真正被金钱替代的，不是道德，而是安全感","文章","2026-07-23",40,4,100.00,40,4,100.00,"https://zhuanlan.zhihu.com/p/2063612464823120232"
"为什么公司中层培养这么困难？培养中层的最大障碍到底是什么？","回答","2026-07-22",905,161,177.90,905,161,177.90,"https://www.zhihu.com/answer/2063378539873936478"
"为什么很多人，做到经理或总监，就再也上不去了？","回答","2026-07-22",7065,1803,255.20,7065,1803,255.20,"https://www.zhihu.com/answer/2063268216005309342"
"在职场久了我发现有些人能力一般般，领导却特别看重他，做任何事都会护着他，这是为什么呢？","回答","2026-07-22",265,38,143.40,265,38,143.40,"https://www.zhihu.com/answer/2063266042324034332"
"和领导相处有哪些红线不能碰？","回答","2026-07-22",614,32,52.12,614,32,52.12,"https://www.zhihu.com/answer/2063261788725065564"
"基层工作现在的难点是什么？","回答","2026-07-21",1835,477,259.95,1957,477,243.74,"https://www.zhihu.com/answer/2063019845868860854"
"下属做事主动性太低，推一下动一下，作为上级要怎么办，需要去提升哪方面的领导管理能力？","回答","2026-07-20",142,46,323.94,253,55,217.39,"https://www.zhihu.com/answer/2062640327148692977"
"如何看待大力提拔选拔年轻干部?","回答","2026-07-20",285,27,94.74,825,60,72.73,"https://www.zhihu.com/answer/2062594251175810974"
"是什么让好员工开始摆烂的？","回答","2026-07-20",87,13,149.43,362,22,60.77,"https://www.zhihu.com/answer/2062574178964968319"
"从厉害的领导身上，我们可以学到什么？","回答","2026-07-19",49,35,714.29,304,110,361.84,"https://www.zhihu.com/answer/2062294662191305724"
"什么类型的人适合当领导？","回答","2026-07-19",107,18,168.22,491,112,228.11,"https://www.zhihu.com/answer/2061965818829739713"
"为什么领导明明很看好你，却突然提拔了别人？","回答","2026-07-17",46,9,195.65,278,32,115.11,"https://www.zhihu.com/answer/2061486390307709805"
"领导提拔你的最根本的原因是什么？","回答","2026-07-16",30,22,733.33,510,110,215.69,"https://www.zhihu.com/answer/2061118130731096014"
"为什么越来越多的工厂开始涨薪留人了？","回答","2026-07-15",205,21,102.44,970,87,89.69,"https://www.zhihu.com/answer/2060814233038747008"
"为什么说领导不是谁都可以当好的？","回答","2026-07-10",2,4,2000.00,151,4,26.49,"https://www.zhihu.com/answer/2058939451196413035"
"怎么判断一个单位已经烂透了?","回答","2026-07-02",29,18,620.69,964,235,243.78,"https://www.zhihu.com/answer/2056059209934959217"
"为什么中建这种大央企也会发不出工资？","回答","2026-07-02",22,9,409.09,548,64,116.79,"https://www.zhihu.com/answer/2056054123464860634"
"好领导一般都什么样？","回答","2026-07-01",22,41,1863.64,441,132,299.32,"https://www.zhihu.com/answer/2055788329006784796"
"作为管理者，有哪些事情不能对员工讲？","回答","2026-06-27",319,243,761.76,880,484,550.00,"https://www.zhihu.com/answer/2054232041546425500"
"什么事情是我当了老板才知道的？","文章","2026-06-26",35,12,342.86,632,39,61.71,"https://zhuanlan.zhihu.com/p/2053941871722895279"
"为什么很多人学习了大量的商业知识，别人的成功方法，成功案例，但是自己却还是失败的？","回答","2026-06-26",8,9,1125.00,80,62,775.00,"https://www.zhihu.com/answer/2053865051048654496"
"在知乎上泡这么久，工作、生活、工资还是没有起色是什么原因？","回答","2026-06-24",10,12,1200.00,246,150,609.76,"https://www.zhihu.com/answer/2053220343368757946"
"销售那么挣钱，为什么大家不愿意做销售？","回答","2026-06-24",13,24,1846.15,235,102,434.04,"https://www.zhihu.com/answer/2053150670178595072"
"什么事情是你当了老板才知道的？","回答","2026-06-24",774,297,383.72,44824,17196,383.63,"https://www.zhihu.com/answer/2053145297379923071"
"中年失业出路在哪？","回答","2026-06-24",113,37,327.43,994,137,137.83,"https://www.zhihu.com/answer/2053140800012391180"
